M,Dur,A_count,Count,oriMac,date,Moment
"7.5-172,48,74,38,155,214",16.85,1.0,2.0,"172,48,74,38,155,214",7.5,16.85
"7.5-164,125,159,153,152,106",20.35,2.0,19.0,"164,125,159,153,152,106",7.5,20.35
"7.5-252,107,240,89,142,53",20.42,2.0,37.0,"252,107,240,89,142,53",7.5,20.42
"7.5-112,138,9,131,175,199",20.42,2.0,47.0,"112,138,9,131,175,199",7.5,20.42
"7.5-48,74,38,133,29,213",20.42,5.0,49.0,"48,74,38,133,29,213",7.5,20.42
"7.5-48,74,38,155,214,98",20.42,6.0,147.0,"48,74,38,155,214,98",7.5,20.42
"7.5-20,178,229,137,47,142",20.42,4.0,38.0,"20,178,229,137,47,142",7.5,20.42
"7.5-164,48,74,38,133,29",16.85,1.0,2.0,"164,48,74,38,133,29",7.5,16.85
"7.5-4,207,140,11,128,186",20.42,3.0,15.0,"4,207,140,11,128,186",7.5,20.42
"7.5-208,151,254,40,222,169",20.4,3.0,11.0,"208,151,254,40,222,169",7.5,20.4
"7.5-88,133,233,252,89,161",20.43,2.0,4.0,"88,133,233,252,89,161",7.5,20.43
"7.5-220,240,144,185,104,48",20.4,2.0,3.0,"220,240,144,185,104,48",7.5,20.4
"7.5-140,206,78,224,75,99",22.78,3.0,7.0,"140,206,78,224,75,99",7.5,22.78
"7.5-88,198,240,41,58,135",23.68,3.0,12.0,"88,198,240,41,58,135",7.5,23.68
"7.5-32,50,51,210,96,61",23.88,3.0,67.0,"32,50,51,210,96,61",7.5,23.88
"7.5-28,72,206,164,132,189",23.87,2.0,2.0,"28,72,206,164,132,189",7.5,23.87
"7.5-64,140,31,142,167,149",23.92,2.0,39.0,"64,140,31,142,167,149",7.5,23.92
"7.5-8,250,121,45,167,67",23.92,1.0,7.0,"8,250,121,45,167,67",7.5,23.92
"7.5-164,201,57,9,43,253",23.92,1.0,6.0,"164,201,57,9,43,253",7.5,23.92
"7.5-8,250,121,194,19,245",23.92,1.0,21.0,"8,250,121,194,19,245",7.5,23.92
"7.5-204,129,42,183,42,73",23.92,1.0,3.0,"204,129,42,183,42,73",7.5,23.92
"7.5-212,26,63,183,185,195",23.88,1.0,4.0,"212,26,63,183,185,195",7.5,23.88
"7.5-208,151,254,41,36,198",23.92,2.0,13.0,"208,151,254,41,36,198",7.5,23.92
"7.5-28,54,187,20,163,246",23.93,1.0,16.0,"28,54,187,20,163,246",7.5,23.93
"7.5-128,214,5,75,8,213",23.92,2.0,5.0,"128,214,5,75,8,213",7.5,23.92
"7.5-240,27,108,132,118,12",23.92,2.0,3.0,"240,27,108,132,118,12",7.5,23.92
"7.5-28,66,125,50,93,223",23.92,2.0,3.0,"28,66,125,50,93,223",7.5,23.92
"7.5-184,55,101,29,72,107",23.93,1.0,19.0,"184,55,101,29,72,107",7.5,23.93
"7.5-156,95,90,12,124,73",23.93,3.0,9.0,"156,95,90,12,124,73",7.5,23.93
"7.5-164,201,57,205,13,69",23.93,1.0,11.0,"164,201,57,205,13,69",7.5,23.93
"7.5-132,65,103,218,221,212",23.93,1.0,3.0,"132,65,103,218,221,212",7.5,23.93
"7.5-48,69,150,180,24,101",23.93,2.0,5.0,"48,69,150,180,24,101",7.5,23.93
"7.5-184,148,54,32,44,55",23.93,2.0,14.0,"184,148,54,32,44,55",7.5,23.93
"7.5-88,102,186,101,140,144",23.93,2.0,26.0,"88,102,186,101,140,144",7.5,23.93
"7.5-64,140,31,52,191,11",23.95,2.0,3.0,"64,140,31,52,191,11",7.5,23.95
"7.5-64,68,253,44,108,157",23.95,1.0,2.0,"64,68,253,44,108,157",7.5,23.95
"7.5-124,218,195,126,234,181",23.95,2.0,2.0,"124,218,195,126,234,181",7.5,23.95
"7.6-252,107,240,89,142,53",11.98,2.0,2138.0,"252,107,240,89,142,53",7.6,11.98
"7.6-32,50,51,210,96,61",11.98,6.0,4742.0,"32,50,51,210,96,61",7.6,11.98
"7.6-48,74,38,133,29,213",11.98,7.0,4707.0,"48,74,38,133,29,213",7.6,11.98
"7.6-64,140,31,142,167,149",3.62,6.0,326.0,"64,140,31,142,167,149",7.6,3.62
"7.6-8,250,121,194,19,245",11.98,1.0,74.0,"8,250,121,194,19,245",7.6,11.98
"7.6-48,74,38,155,214,98",12.0,12.0,8186.0,"48,74,38,155,214,98",7.6,12.0
"7.6-208,151,254,41,36,198",11.98,4.0,544.0,"208,151,254,41,36,198",7.6,11.98
"7.6-204,129,42,183,42,73",11.98,11.0,411.0,"204,129,42,183,42,73",7.6,11.98
"7.6-88,198,240,41,58,135",11.98,6.0,283.0,"88,198,240,41,58,135",7.6,11.98
"7.6-184,148,54,32,44,55",11.98,5.0,628.0,"184,148,54,32,44,55",7.6,11.98
