wifi_a,wifi_b,count,distance,meanTime,maxSpeed
22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
88.0,95.0,1.0,53.3,10556.0,0.005049261083743842
95.0,13.0,2.0,76.05,6.5,15.209999999999999
95.0,5.0,2.0,39.38,6.5,6.5633333333333335
22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
88.0,99.0,1.0,147.2,7548.0,0.019501854795972443
99.0,40516.0,1.0,24.26,212.0,0.11443396226415095
40516.0,27617.0,6.0,86.98,5.0,28.993333333333336
40516.0,28352.0,3.0,49.98,4.666666666666667,16.66
28352.0,45527.0,5.0,23.35,4.0,23.35
30962.0,49.0,6.0,124.62,14.0,15.5775
95.0,75858.0,1.0,54.69,7.0,7.812857142857142
75858.0,5.0,2.0,23.35,8757.5,4.67
95.0,49351.0,1.0,14.06,7.0,2.0085714285714285
49351.0,38805.0,7.0,63.25,3.4285714285714284,31.625
49351.0,99.0,2.0,94.48,3.5,47.24
38805.0,49.0,8.0,102.16,95.375,204.32
38805.0,93376.0,1.0,39.81,50618.0,0.0007864791181002806
93376.0,5.0,2.0,34.47,8836.5,0.40552941176470586
95.0,38972.0,1.0,27.76,767.0,0.03619295958279009
38972.0,43255.0,8.0,41.4,800.25,20.7
38972.0,99.0,2.0,99.04,3.5,33.013333333333335
38972.0,92.0,4.0,183.61,1006.0,367.22
95.0,55554.0,1.0,65.74,7.0,9.391428571428571
55554.0,8508.0,1.0,27.66,7.0,3.9514285714285715
8508.0,1539.0,7.0,29.73,2.7142857142857144,29.73
1539.0,62938.0,2.0,85.15,410.0,170.3
1539.0,89661.0,3.0,64.38,2.0,64.38
89661.0,55847.0,1.0,28.28,1.0,28.28
55847.0,68202.0,6.0,54.2,0.8333333333333334,108.4
55847.0,60734.0,1.0,3.61,2.0,1.805
60734.0,68202.0,2.0,50.61,1.5,50.61
68202.0,120.0,2.0,82.05,2.0,82.05
60734.0,120.0,2.0,39.28,4.0,39.28
60734.0,70591.0,2.0,57.8,2.0,115.6
60734.0,71177.0,1.0,31.89,1.0,31.89
71177.0,120.0,4.0,23.96,3.25,47.92
71177.0,33.0,1.0,77.03,4.0,19.2575
33.0,60989.0,5.0,155.58,2.0,311.16
60989.0,70591.0,2.0,31.02,1.0,31.02
60989.0,93178.0,1.0,25.0,414.0,0.06038647342995169
93178.0,70591.0,2.0,16.64,1.5,16.64
93178.0,33.0,2.0,148.06,3.5,49.35333333333333
93178.0,33978.0,1.0,4.24,1985.0,0.0021360201511335013
33978.0,33.0,2.0,152.29,2.0,152.29
33978.0,4772.0,3.0,12.81,194.0,25.62
4772.0,60989.0,1.0,29.41,35040.0,0.0008393264840182649
60989.0,5.0,1.0,42.57,7391.0,0.005759707752672169
5.0,10183.0,1.0,4.74,1202.0,0.003943427620632279
95.0,18751.0,1.0,9.27,300.0,0.030899999999999997
